,name
0,"Wälzlager, Gleitlager"
1,"Lineartechnik, Linearführungen"
2,"Zahnriemen, Zahnriemenscheiben"
3,"Keilriemen, Keilriemenscheiben"
4,"Industrieketten, Kettenräder"
5,Verzahnungsteile
6,Industriekupplungen
7,"Spannsätze, Spannbuchsen"
8,Bedienungselemente
9,"Maschinenteile, Vorrichtungsteile"
10,Schwingungstechnik
11,ROSTA Gummifederelemente
12,Gelenke
13,Schmiervorrichtungen
