,name
0,Zerspanung
1,Spanntechnik
2,"Messwerkzeuge, Prüfgeräte"
3,"Schleifen, Trennen, Sägen"
4,Schraubwerkzeuge
5,"Zangen, Messer"
6,Handwerkzeuge
7,Holzbohrer und Fräser
8,"Betonbohrer, Stein&shy;bohrer, Beton&shy;meißel, Stein&shy;meißel"
9,"Forstgeräte, Gartengeräte"
10,Druckluftwerkzeuge
11,"Elektrowerkzeuge, Akku-Werkzeuge"
12,Stationärmaschinen
13,"Akkuwerkzeug-Zu&shy;behör, Elektro&shy;werk&shy;zeug-Zubehör"
