,name
0,Schrauben
1,Muttern
2,"Scheiben, Sicherungselemente"
3,Holzverbinder
4,"Drahtstifte, Nägel, Haken, Nieten"
5,"Dübel, Anker, Mörtel"
6,Magazinierte Verbindungsmittel
7,"Seile, Schnüre, Drähte, Zubehör"
8,"Terrasse, Fassade"
9,"Ketten, Glieder, Haken"
